260000,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message. shall be treated as an Unknown message.
260001,GTPv1,Abnormal GTPv1 message length,Reserved,Echo Request
260002,GTPv1,Abnormal GTPv1 message length,Reserved,Echo Response
260003,GTPv1,Abnormal GTPv1 message length,Reserved,Version Not Supported
260004,GTPv1,Abnormal GTPv1 message length,Reserved,Node Alive Request
260005,GTPv1,Abnormal GTPv1 message length,Reserved,Node Alive Response
260006,GTPv1,Abnormal GTPv1 message length,Reserved,Redirection Request
260007,GTPv1,Abnormal GTPv1 message length,Reserved,Redirection Response
260008,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
260010,GTPv1,Abnormal GTPv1 message length,Reserved,Create PDP Context Request
260011,GTPv1,Abnormal GTPv1 message length,Reserved,Create PDP Context Response
260012,GTPv1,Abnormal GTPv1 message length,Reserved,Update PDP Context Request
260013,GTPv1,Abnormal GTPv1 message length,Reserved,Update PDP Context Response
260014,GTPv1,Abnormal GTPv1 message length,Reserved,Delete PDP Context Request
260015,GTPv1,Abnormal GTPv1 message length,Reserved,Delete PDP Context Response
260016,GTPv1,Abnormal GTPv1 message length,Reserved,Initiate PDP Context Activation Request
260017,GTPv1,Abnormal GTPv1 message length,Reserved,Initiate PDP Context Activation Response
260018,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
26001a,GTPv1,Abnormal GTPv1 message length,Reserved,Error Indication
26001b,GTPv1,Abnormal GTPv1 message length,Reserved,PDU Notification Request
26001c,GTPv1,Abnormal GTPv1 message length,Reserved,PDU Notification Response
26001d,GTPv1,Abnormal GTPv1 message length,Reserved,PDU Notification Reject Request
26001e,GTPv1,Abnormal GTPv1 message length,Reserved,PDU Notification Reject Response
26001f,GTPv1,Abnormal GTPv1 message length,Reserved,Supported Extension Headers Notification
260020,GTPv1,Abnormal GTPv1 message length,Reserved,Send Routeing Information for GPRS Request
260021,GTPv1,Abnormal GTPv1 message length,Reserved,Send Routeing Information for GPRS Response
260022,GTPv1,Abnormal GTPv1 message length,Reserved,Failure Report Request
260023,GTPv1,Abnormal GTPv1 message length,Reserved,Failure Report Response
260024,GTPv1,Abnormal GTPv1 message length,Reserved,Note MS GPRS Present Request
260025,GTPv1,Abnormal GTPv1 message length,Reserved,Note MS GPRS Present Response
260026,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
260030,GTPv1,Abnormal GTPv1 message length,Reserved,Identification Request
260031,GTPv1,Abnormal GTPv1 message length,Reserved,Identification Response
260032,GTPv1,Abnormal GTPv1 message length,Reserved,SGSN Context Request
260033,GTPv1,Abnormal GTPv1 message length,Reserved,SGSN Context Response
260034,GTPv1,Abnormal GTPv1 message length,Reserved,SGSN Context Acknowledge
260035,GTPv1,Abnormal GTPv1 message length,Reserved,Forward Relocation Request
260036,GTPv1,Abnormal GTPv1 message length,Reserved,Forward Relocation Response
260037,GTPv1,Abnormal GTPv1 message length,Reserved,Forward Relocation Complete
260038,GTPv1,Abnormal GTPv1 message length,Reserved,Relocation Cancel Request
260039,GTPv1,Abnormal GTPv1 message length,Reserved,Relocation Cancel Response
26003a,GTPv1,Abnormal GTPv1 message length,Reserved,Forward SRNS Context
26003b,GTPv1,Abnormal GTPv1 message length,Reserved,Forward Relocation Complete Acknowledge
26003c,GTPv1,Abnormal GTPv1 message length,Reserved,Forward SRNS Context Acknowledge
26003d,GTPv1,Abnormal GTPv1 message length,Reserved,UE Registration Query Request
26003e,GTPv1,Abnormal GTPv1 message length,Reserved,UE Registration Query Response
26003f,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
260046,GTPv1,Abnormal GTPv1 message length,Reserved,RAN Information Relay
260047,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
260060,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Notification Request
260061,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Notification Response
260062,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Notification Reject Request
260063,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Notification Reject Response
260064,GTPv1,Abnormal GTPv1 message length,Reserved,Create MBMS Context Request
260065,GTPv1,Abnormal GTPv1 message length,Reserved,Create MBMS Context Response
260066,GTPv1,Abnormal GTPv1 message length,Reserved,Update MBMS Context Request
260067,GTPv1,Abnormal GTPv1 message length,Reserved,Update MBMS Context Response
260068,GTPv1,Abnormal GTPv1 message length,Reserved,Delete MBMS Context Request
260069,GTPv1,Abnormal GTPv1 message length,Reserved,Delete MBMS Context Response
26006a,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
260070,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Registration Request
260071,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Registration Response
260072,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS De-Registration Request
260073,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS De-Registration Response
260074,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Session Start Request
260075,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Session Start Response
260076,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Session Stop Request
260077,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Session Stop Response
260078,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Session Update Request
260079,GTPv1,Abnormal GTPv1 message length,Reserved,MBMS Session Update Response
26007a,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
260080,GTPv1,Abnormal GTPv1 message length,Reserved,MS Info Change Notification Request
260081,GTPv1,Abnormal GTPv1 message length,Reserved,MS Info Change Notification Response
260082,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
2600f0,GTPv1,Abnormal GTPv1 message length,Reserved,Data Record Transfer Request
2600f1,GTPv1,Abnormal GTPv1 message length,Reserved,Data Record Transfer Response
2600f2,GTPv1,Abnormal GTPv1 message length,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
2600fe,GTPv1,Abnormal GTPv1 message length,Reserved,End Marker
2600ff,GTPv1,Abnormal GTPv1 message length,Reserved,G-PDU
260100,GTPv1,Abnormal GTPv1 message length,Cause,For future use. Shall not be sent. If received shall be treated as an Unknown message. shall be treated as an Unknown message.
260101,GTPv1,Abnormal GTPv1 message length,Cause,Echo Request
260102,GTPv1,Abnormal GTPv1 message length,Cause,Echo Response
260103,GTPv1,Abnormal GTPv1 message length,Cause,Version Not Supported
260104,GTPv1,Abnormal GTPv1 message length,Cause,Node Alive Request
