EventCode,GTPVersion,Description,InformationElement,MessageType
280000,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message. shall be treated as an Unknown message.
280001,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Echo Request
280002,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Echo Response
280003,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Version Not Supported
280004,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Node Alive Request
280005,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Node Alive Response
280006,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Redirection Request
280007,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Redirection Response
280008,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
280010,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Create PDP Context Request
280011,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Create PDP Context Response
280012,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Update PDP Context Request
280013,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Update PDP Context Response
280014,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Delete PDP Context Request
280015,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Delete PDP Context Response
280016,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Initiate PDP Context Activation Request
280017,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Initiate PDP Context Activation Response
280018,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
28001a,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Error Indication
28001b,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,PDU Notification Request
28001c,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,PDU Notification Response
28001d,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,PDU Notification Reject Request
28001e,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,PDU Notification Reject Response
28001f,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Supported Extension Headers Notification
280020,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Send Routeing Information for GPRS Request
280021,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Send Routeing Information for GPRS Response
280022,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Failure Report Request
280023,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Failure Report Response
280024,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Note MS GPRS Present Request
280025,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Note MS GPRS Present Response
280026,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
280030,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Identification Request
280031,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Identification Response
280032,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,SGSN Context Request
280033,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,SGSN Context Response
280034,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,SGSN Context Acknowledge
280035,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Forward Relocation Request
280036,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Forward Relocation Response
280037,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Forward Relocation Complete
280038,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Relocation Cancel Request
280039,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Relocation Cancel Response
28003a,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Forward SRNS Context
28003b,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Forward Relocation Complete Acknowledge
28003c,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Forward SRNS Context Acknowledge
28003d,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,UE Registration Query Request
28003e,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,UE Registration Query Response
28003f,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
280046,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,RAN Information Relay
280047,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,For future use. Shall not be sent. If received shall be treated as an Unknown message.
280060,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,MBMS Notification Request
280061,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,MBMS Notification Response
280062,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,MBMS Notification Reject Request
280063,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,MBMS Notification Reject Response
280064,GTPv1,Missing mandatory IE in GTPv1 message,Reserved,Create MBMS Context Request
