EventCode,GTPVersion,Description,InformationElement,MessageType
10814e,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10814f,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108150,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108152,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108153,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108154,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108155,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108156,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108157,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108158,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108159,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10815a,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10815b,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10815c,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10815d,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10815e,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10815f,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108160,GTPv1,Tunnel alert limit reached,,MBMS Notification Request
108161,GTPv1,Tunnel alert limit reached,,MBMS Notification Response
108162,GTPv1,Tunnel alert limit reached,,MBMS Notification Reject Request
108163,GTPv1,Tunnel alert limit reached,,MBMS Notification Reject Response
108164,GTPv1,Tunnel alert limit reached,,Create MBMS Context Request
108165,GTPv1,Tunnel alert limit reached,,Create MBMS Context Response
108166,GTPv1,Tunnel alert limit reached,,Update MBMS Context Request
108167,GTPv1,Tunnel alert limit reached,,Update MBMS Context Response
108168,GTPv1,Tunnel alert limit reached,,Delete MBMS Context Request
108169,GTPv1,Tunnel alert limit reached,,Delete MBMS Context Response
10816a,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10816b,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10816c,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10816d,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10816e,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
10816f,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
108170,GTPv1,Tunnel alert limit reached,,MBMS Registration Request
108171,GTPv1,Tunnel alert limit reached,,MBMS Registration Response
108172,GTPv1,Tunnel alert limit reached,,MBMS De-Registration Request
108173,GTPv1,Tunnel alert limit reached,,MBMS De-Registration Response
108174,GTPv1,Tunnel alert limit reached,,MBMS Session Start Request
108175,GTPv1,Tunnel alert limit reached,,MBMS Session Start Response
108176,GTPv1,Tunnel alert limit reached,,MBMS Session Stop Request
108177,GTPv1,Tunnel alert limit reached,,MBMS Session Stop Response
108178,GTPv1,Tunnel alert limit reached,,MBMS Session Update Request
108179,GTPv1,Tunnel alert limit reached,,MBMS Session Update Response
10817a,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message
10817b,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message
10817c,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message
10817d,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message
10817e,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message
10817f,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message
108180,GTPv1,Tunnel alert limit reached,,MS Info Change Notification Request
108181,GTPv1,Tunnel alert limit reached,,MS Info Change Notification Response
108182,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
1081f0,GTPv1,Tunnel alert limit reached,,Data Record Transfer Request
1081f1,GTPv1,Tunnel alert limit reached,,Data Record Transfer Response
1081f2,GTPv1,Tunnel alert limit reached,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
1081fe,GTPv1,Tunnel alert limit reached,,End Marker
1081ff,GTPv1,Tunnel alert limit reached,,G-PDU
