EventCode,GTPVersion,Description,InformationElement,MessageType
144200,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved
144201,GTPv2,Incorrect reserved field in GTPv2 header,,Echo Request
144202,GTPv2,Incorrect reserved field in GTPv2 header,,Echo Response
144203,GTPv2,Incorrect reserved field in GTPv2 header,,Version Not Supported Indication
144204,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144205,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144206,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144207,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144208,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144209,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
14420a,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
14420b,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
14420c,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
14420d,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
14420e,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
14420f,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144210,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S101 interface
144211,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144212,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144213,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144214,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144215,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144216,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144217,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144218,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for S121 interface
144219,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
14421a,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
14421b,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
14421c,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
14421d,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
14421e,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
14421f,GTPv2,Incorrect reserved field in GTPv2 header,,Reserved for Sv interface
144220,GTPv2,Incorrect reserved field in GTPv2 header,,Create Session Request
144221,GTPv2,Incorrect reserved field in GTPv2 header,,Create Session Response
144224,GTPv2,Incorrect reserved field in GTPv2 header,,Delete Session Request
144225,GTPv2,Incorrect reserved field in GTPv2 header,,Delete Session Response
144222,GTPv2,Incorrect reserved field in GTPv2 header,,Modify Bearer Request
144223,GTPv2,Incorrect reserved field in GTPv2 header,,Modify Bearer Response
144228,GTPv2,Incorrect reserved field in GTPv2 header,,Remote UE Report Notification
144229,GTPv2,Incorrect reserved field in GTPv2 header,,Remote UE Report Acknowledge
144226,GTPv2,Incorrect reserved field in GTPv2 header,,Change Notification Request
144227,GTPv2,Incorrect reserved field in GTPv2 header,,Change Notification Response
14422a,GTPv2,Incorrect reserved field in GTPv2 header,,For future use
1442a4,GTPv2,Incorrect reserved field in GTPv2 header,,Resume Notification
1442a5,GTPv2,Incorrect reserved field in GTPv2 header,,Resume Acknowledge
144240,GTPv2,Incorrect reserved field in GTPv2 header,,Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
144241,GTPv2,Incorrect reserved field in GTPv2 header,,Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8-S2a-S2b)
144242,GTPv2,Incorrect reserved field in GTPv2 header,,Delete Bearer Command (MME/SGSN to PGW – S11/S4-S5/S8)
144243,GTPv2,Incorrect reserved field in GTPv2 header,,Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8-S11/S4))
144244,GTPv2,Incorrect reserved field in GTPv2 header,,Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
144245,GTPv2,Incorrect reserved field in GTPv2 header,,Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8-S2a-S2b)
144246,GTPv2,Incorrect reserved field in GTPv2 header,,Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
144247,GTPv2,Incorrect reserved field in GTPv2 header,,Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
144248,GTPv2,Incorrect reserved field in GTPv2 header,,Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
