EventCode,GTPVersion,Description,InformationElement,MessageType
128200,GTPv2,Out-of-state GTPv2 message,,Reserved
128201,GTPv2,Out-of-state GTPv2 message,,Echo Request
128202,GTPv2,Out-of-state GTPv2 message,,Echo Response
128203,GTPv2,Out-of-state GTPv2 message,,Version Not Supported Indication
128204,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128205,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128206,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128207,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128208,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128209,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
12820a,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
12820b,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
12820c,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
12820d,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
12820e,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
12820f,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128210,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
128211,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128212,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128213,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128214,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128215,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128216,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128217,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128218,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
128219,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
12821a,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
12821b,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
12821c,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
12821d,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
12821e,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
