EventCode,GTPVersion,Description,InformationElement,MessageType
800,GTPv1,Normal GTP messages,,
841,GTPv1,GTP session ended with a GTPv1 delete message,,
842,GTPv1,GTP session ended with a GTPv2 delete message,,
844,GTPv1,GTP session ended unexpectedly (timeout),,
881,GTPv1,GTPv1 session start,,
882,GTPv2,GTPv2 session start,,
101000,GTPv1,End User IP address spoofed,,
101400,GTPv1,GTP-in-GTP,,
101800,GTPv1,Overbilling protection in effect,,
