1810b0, Unknown GTP-U message, Downlink Data Notification
1810b1, Unknown GTP-U message, Downlink Data Notification Acknowledge
1810b3, Unknown GTP-U message, PGW Restart Notification
1810b4, Unknown GTP-U message, PGW Restart Notification Acknowledge
1810b2, Unknown GTP-U message, Reserved. Allocated in earlier version of the specification.
1810b5, Unknown GTP-U message, For future use
1810c8, Unknown GTP-U message, Update PDN Connection Set Request
1810c9, Unknown GTP-U message, Update PDN Connection Set Response
1810ca, Unknown GTP-U message, For future use
1810d3, Unknown GTP-U message, Modify Access Bearers Request
1810d4, Unknown GTP-U message, Modify Access Bearers Response
1810d5, Unknown GTP-U message, For future use
1810e7, Unknown GTP-U message, MBMS Session Start Request
1810e8, Unknown GTP-U message, MBMS Session Start Response
1810e9, Unknown GTP-U message, MBMS Session Update Request
1810ea, Unknown GTP-U message, MBMS Session Update Response
1810eb, Unknown GTP-U message, MBMS Session Stop Request
1810ec, Unknown GTP-U message, MBMS Session Stop Response
1810ed, Unknown GTP-U message, For future use
1810f0, Unknown GTP-U message, Reserved for Sv interface (see also types 25 to 31)
1810f8, Unknown GTP-U message, For future use
