EventCode,GTPVersion,Description,InformationElement,MessageType
188100,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
188101,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Echo Request
188102,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Echo Response
188103,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Version Not Supported
188104,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Node Alive Request
188105,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Node Alive Response
188106,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Redirection Request
188107,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Redirection Response
188108,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
188109,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18810a,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18810b,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18810c,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18810d,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18810e,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18810f,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
188110,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Create PDP Context Request
188111,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Create PDP Context Response
188112,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Update PDP Context Request
188113,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Update PDP Context Response
188114,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Delete PDP Context Request
188115,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Delete PDP Context Response
188116,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Initiate PDP Context Activation Request
188117,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Initiate PDP Context Activation Response
188118,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
188119,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18811a,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Error Indication
18811b,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,PDU Notification Request
18811c,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,PDU Notification Response
18811d,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,PDU Notification Reject Request
18811e,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,PDU Notification Reject Response
18811f,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Supported Extension Headers Notification
188120,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Send Routeing Information for GPRS Request
188121,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Send Routeing Information for GPRS Response
188122,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Failure Report Request
188123,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Failure Report Response
188124,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Note MS GPRS Present Request
188125,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,Note MS GPRS Present Response
188126,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
188127,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
188128,GTPv1,GTPv1 message matched by IMSI-Prefix filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
