104100, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
104101, Tunnel block limit reached, Echo Request
104102, Tunnel block limit reached, Echo Response
104103, Tunnel block limit reached, Version Not Supported
104104, Tunnel block limit reached, Node Alive Request
104105, Tunnel block limit reached, Node Alive Response
104106, Tunnel block limit reached, Redirection Request
104107, Tunnel block limit reached, Redirection Response
104108, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
104109, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10410a, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10410b, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10410c, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10410d, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10410e, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10410f, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
104110, Tunnel block limit reached, Create PDP Context Request
104111, Tunnel block limit reached, Create PDP Context Response
104112, Tunnel block limit reached, Update PDP Context Request
104113, Tunnel block limit reached, Update PDP Context Response
104114, Tunnel block limit reached, Delete PDP Context Request
104115, Tunnel block limit reached, Delete PDP Context Response
104116, Tunnel block limit reached, Initiate PDP Context Activation Request
104117, Tunnel block limit reached, Initiate PDP Context Activation Response
104118, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
104119, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
10411a, Tunnel block limit reached, Error Indication
10411b, Tunnel block limit reached, PDU Notification Request
10411c, Tunnel block limit reached, PDU Notification Response
10411d, Tunnel block limit reached, PDU Notification Reject Request
10411e, Tunnel block limit reached, PDU Notification Reject Response
10411f, Tunnel block limit reached, Supported Extension Headers Notification
104120, Tunnel block limit reached, Send Routeing Information for GPRS Request
104141, Tunnel block limit reached, Send Routeing Information for GPRS Response
104122, Tunnel block limit reached, Failure Report Request
104123, Tunnel block limit reached, Failure Report Response
104124, Tunnel block limit reached, Note MS GPRS Present Request
104125, Tunnel block limit reached, Note MS GPRS Present Response
104126, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
104127, Tunnel block limit reached, For future use. Shall not be sent. If received, Tunnel block limit reached, shall be treated as an Unknown message.
