EventCode,GTPVersion,Description,InformationElement,MessageType
182100,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
182101,GTPv1,GTPv1 message matched by RAT filter,,Echo Request
182102,GTPv1,GTPv1 message matched by RAT filter,,Echo Response
182103,GTPv1,GTPv1 message matched by RAT filter,,Version Not Supported
182104,GTPv1,GTPv1 message matched by RAT filter,,Node Alive Request
182105,GTPv1,GTPv1 message matched by RAT filter,,Node Alive Response
182106,GTPv1,GTPv1 message matched by RAT filter,,Redirection Request
182107,GTPv1,GTPv1 message matched by RAT filter,,Redirection Response
182108,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
182109,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18210a,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18210b,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18210c,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18210d,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18210e,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18210f,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
182110,GTPv1,GTPv1 message matched by RAT filter,,Create PDP Context Request
182111,GTPv1,GTPv1 message matched by RAT filter,,Create PDP Context Response
182112,GTPv1,GTPv1 message matched by RAT filter,,Update PDP Context Request
182113,GTPv1,GTPv1 message matched by RAT filter,,Update PDP Context Response
182114,GTPv1,GTPv1 message matched by RAT filter,,Delete PDP Context Request
182115,GTPv1,GTPv1 message matched by RAT filter,,Delete PDP Context Response
182116,GTPv1,GTPv1 message matched by RAT filter,,Initiate PDP Context Activation Request
182117,GTPv1,GTPv1 message matched by RAT filter,,Initiate PDP Context Activation Response
182118,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
182119,GTPv1,GTPv1 message matched by RAT filter,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18211a,GTPv1,GTPv1 message matched by RAT filter,,Error Indication
18211b,GTPv1,GTPv1 message matched by RAT filter,,PDU Notification Request
18211c,GTPv1,GTPv1 message matched by RAT filter,,PDU Notification Response
18211d,GTPv1,GTPv1 message matched by RAT filter,,PDU Notification Reject Request
18211e,GTPv1,GTPv1 message matched by RAT filter,,PDU Notification Reject Response
18211f,GTPv1,GTPv1 message matched by RAT filter,,Supported Extension Headers Notification
