EventCode,GTPVersion,Description,InformationElement,MessageType
414200,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved
414201,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Echo Request
414202,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Echo Response
414203,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Version Not Supported Indication
414204,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414205,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414206,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414207,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414208,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414209,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
41420a,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
41420b,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
41420c,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
41420d,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
41420e,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
41420f,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414210,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S101 interface
414211,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414212,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414213,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414214,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414215,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414216,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414217,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414218,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for S121 interface
414219,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
41421a,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
41421b,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
41421c,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
41421d,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
41421e,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
41421f,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Reserved for Sv interface
414220,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Create Session Request
414221,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Create Session Response
414224,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete Session Request
414225,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete Session Response
414222,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Modify Bearer Request
414223,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Modify Bearer Response
414228,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Remote UE Report Notification
414229,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Remote UE Report Acknowledge
414226,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Change Notification Request
414227,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Change Notification Response
41422a,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,For future use
4142a4,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Resume Notification
4142a5,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Resume Acknowledge
414240,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
414241,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8-S11/S4-S2a-S2b)
414242,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete Bearer Command (MME/SGSN to PGW – S11/S4-S5/S8)
414243,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8-S11/S4))
414244,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
414245,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8-S11/S4-S2a-S2b)
414246,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
414247,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
414248,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
414249,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Stop Paging Indication (SGW to MME/SGSN – S11/S4)
41424a,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,For future use
41425f,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Create Bearer Request
414260,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Create Bearer Response
414261,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Update Bearer Request
414262,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Update Bearer Response
414263,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete Bearer Request
414264,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete Bearer Response
414265,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete PDN Connection Set Request
414266,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Delete PDN Connection Set Response
414267,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,PGW Downlink Triggering Notification
414268,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,PGW Downlink Triggering Acknowledge
414269,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,For future use
414280,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Identification Request
414281,GTPv2,Invalid TEID in GTPv2 header (non-existent tunnel),,Identification Response
