EventCode,GTPVersion,Description,InformationElement,MessageType
181100,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
181101,GTPv1,Unknown GTPv1-C message,,Echo Request
181102,GTPv1,Unknown GTPv1-C message,,Echo Response
181103,GTPv1,Unknown GTPv1-C message,,Version Not Supported
181104,GTPv1,Unknown GTPv1-C message,,Node Alive Request
181105,GTPv1,Unknown GTPv1-C message,,Node Alive Response
181106,GTPv1,Unknown GTPv1-C message,,Redirection Request
181107,GTPv1,Unknown GTPv1-C message,,Redirection Response
181108,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
181109,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18110a,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18110b,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18110c,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18110d,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18110e,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
18110f,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
181110,GTPv1,Unknown GTPv1-C message,,Create PDP Context Request
181111,GTPv1,Unknown GTPv1-C message,,Create PDP Context Response
181112,GTPv1,Unknown GTPv1-C message,,Update PDP Context Request
181113,GTPv1,Unknown GTPv1-C message,,Update PDP Context Response
181114,GTPv1,Unknown GTPv1-C message,,Delete PDP Context Request
181115,GTPv1,Unknown GTPv1-C message,,Delete PDP Context Response
181116,GTPv1,Unknown GTPv1-C message,,Initiate PDP Context Activation Request
181117,GTPv1,Unknown GTPv1-C message,,Initiate PDP Context Activation Response
181118,GTPv1,Unknown GTPv1-C message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
