27009f,GTPv1,Abnormal GTPv2 message length,Reserved,UE Registration Query Response
2700a2,GTPv1,Abnormal GTPv2 message length,Reserved,Suspend Notification
2700a3,GTPv1,Abnormal GTPv2 message length,Reserved,Suspend Acknowledge
2700a0,GTPv1,Abnormal GTPv2 message length,Reserved,Create Forwarding Tunnel Request
2700a1,GTPv1,Abnormal GTPv2 message length,Reserved,Create Forwarding Tunnel Response
2700a6,GTPv1,Abnormal GTPv2 message length,Reserved,Create Indirect Data Forwarding Tunnel Request
2700a7,GTPv1,Abnormal GTPv2 message length,Reserved,Create Indirect Data Forwarding Tunnel Response
2700a8,GTPv1,Abnormal GTPv2 message length,Reserved,Delete Indirect Data Forwarding Tunnel Request
2700a9,GTPv1,Abnormal GTPv2 message length,Reserved,Delete Indirect Data Forwarding Tunnel Response
2700aa,GTPv1,Abnormal GTPv2 message length,Reserved,Release Access Bearers Request
2700ab,GTPv1,Abnormal GTPv2 message length,Reserved,Release Access Bearers Response
2700ac,GTPv1,Abnormal GTPv2 message length,Reserved,For future use
2700b0,GTPv1,Abnormal GTPv2 message length,Reserved,Downlink Data Notification
2700b1,GTPv1,Abnormal GTPv2 message length,Reserved,Downlink Data Notification Acknowledge
2700b3,GTPv1,Abnormal GTPv2 message length,Reserved,PGW Restart Notification
2700b4,GTPv1,Abnormal GTPv2 message length,Reserved,PGW Restart Notification Acknowledge
2700b2,GTPv1,Abnormal GTPv2 message length,Reserved,Reserved. Allocated in earlier version of the specification.
2700b5,GTPv1,Abnormal GTPv2 message length,Reserved,For future use
2700c8,GTPv1,Abnormal GTPv2 message length,Reserved,Update PDN Connection Set Request
2700c9,GTPv1,Abnormal GTPv2 message length,Reserved,Update PDN Connection Set Response
2700ca,GTPv1,Abnormal GTPv2 message length,Reserved,For future use
2700d3,GTPv1,Abnormal GTPv2 message length,Reserved,Modify Access Bearers Request
2700d4,GTPv1,Abnormal GTPv2 message length,Reserved,Modify Access Bearers Response
2700d5,GTPv1,Abnormal GTPv2 message length,Reserved,For future use
2700e7,GTPv1,Abnormal GTPv2 message length,Reserved,MBMS Session Start Request
2700e8,GTPv1,Abnormal GTPv2 message length,Reserved,MBMS Session Start Response
2700e9,GTPv1,Abnormal GTPv2 message length,Reserved,MBMS Session Update Request
2700ea,GTPv1,Abnormal GTPv2 message length,Reserved,MBMS Session Update Response
2700eb,GTPv1,Abnormal GTPv2 message length,Reserved,MBMS Session Stop Request
2700ec,GTPv1,Abnormal GTPv2 message length,Reserved,MBMS Session Stop Response
2700ed,GTPv1,Abnormal GTPv2 message length,Reserved,For future use
2700f0,GTPv1,Abnormal GTPv2 message length,Reserved,Reserved for Sv interface (see also types 25 to 31)
2700f8,GTPv1,Abnormal GTPv2 message length,Reserved,For future use
270100,GTPv1,Abnormal GTPv2 message length,International Mobile Subscriber Identity (IMSI),Reserved
270101,GTPv1,Abnormal GTPv2 message length,International Mobile Subscriber Identity (IMSI),Echo Request
270102,GTPv1,Abnormal GTPv2 message length,International Mobile Subscriber Identity (IMSI),Echo Response
270103,GTPv1,Abnormal GTPv2 message length,International Mobile Subscriber Identity (IMSI),Version Not Supported Indication
270104,GTPv1,Abnormal GTPv2 message length,International Mobile Subscriber Identity (IMSI),Reserved for S101 interface
270111,GTPv1,Abnormal GTPv2 message length,International Mobile Subscriber Identity (IMSI),Reserved for S121 interface
