108100, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108101, Tunnel alert limit reached, Echo Request
108102, Tunnel alert limit reached, Echo Response
108103, Tunnel alert limit reached, Version Not Supported
108104, Tunnel alert limit reached, Node Alive Request
108105, Tunnel alert limit reached, Node Alive Response
108106, Tunnel alert limit reached, Redirection Request
108107, Tunnel alert limit reached, Redirection Response
108108, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108109, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10810a, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10810b, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10810c, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10810d, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10810e, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10810f, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108110, Tunnel alert limit reached, Create PDP Context Request
108111, Tunnel alert limit reached, Create PDP Context Response
108112, Tunnel alert limit reached, Update PDP Context Request
108113, Tunnel alert limit reached, Update PDP Context Response
108114, Tunnel alert limit reached, Delete PDP Context Request
108115, Tunnel alert limit reached, Delete PDP Context Response
108116, Tunnel alert limit reached, Initiate PDP Context Activation Request
108117, Tunnel alert limit reached, Initiate PDP Context Activation Response
108118, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108119, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10811a, Tunnel alert limit reached, Error Indication
10811b, Tunnel alert limit reached, PDU Notification Request
10811c, Tunnel alert limit reached, PDU Notification Response
10811d, Tunnel alert limit reached, PDU Notification Reject Request
10811e, Tunnel alert limit reached, PDU Notification Reject Response
10811f, Tunnel alert limit reached, Supported Extension Headers Notification
108120, Tunnel alert limit reached, Send Routeing Information for GPRS Request
108121, Tunnel alert limit reached, Send Routeing Information for GPRS Response
108122, Tunnel alert limit reached, Failure Report Request
108123, Tunnel alert limit reached, Failure Report Response
108124, Tunnel alert limit reached, Note MS GPRS Present Request
108125, Tunnel alert limit reached, Note MS GPRS Present Response
108126, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108127, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108128, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108129, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10812a, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10812b, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10812c, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10812d, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10812e, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10812f, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108130, Tunnel alert limit reached, Identification Request
108131, Tunnel alert limit reached, Identification Response
108132, Tunnel alert limit reached, SGSN Context Request
108133, Tunnel alert limit reached, SGSN Context Response
108134, Tunnel alert limit reached, SGSN Context Acknowledge
108135, Tunnel alert limit reached, Forward Relocation Request
108136, Tunnel alert limit reached, Forward Relocation Response
108137, Tunnel alert limit reached, Forward Relocation Complete
108138, Tunnel alert limit reached, Relocation Cancel Request
108139, Tunnel alert limit reached, Relocation Cancel Response
10813a, Tunnel alert limit reached, Forward SRNS Context
10813b, Tunnel alert limit reached, Forward Relocation Complete Acknowledge
10813c, Tunnel alert limit reached, Forward SRNS Context Acknowledge
10813d, Tunnel alert limit reached, UE Registration Query Request
10813e, Tunnel alert limit reached, UE Registration Query Response
10813f, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108140, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108141, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108142, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108143, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108144, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108145, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108146, Tunnel alert limit reached, RAN Information Relay
108147, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108148, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108149, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10814a, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10814b, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10814c, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10814d, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10814e, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10814f, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108150, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108152, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108153, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108154, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108155, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108156, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108157, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108158, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
108159, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10815a, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
10815b, Tunnel alert limit reached, For future use. Shall not be sent. If received, Tunnel alert limit reached, shall be treated as an Unknown message.
