EventCode,GTPVersion,Description,InformationElement,MessageType
411100,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411101,GTPv1,Run out of resource for GTPv1 message,,Echo Request
411102,GTPv1,Run out of resource for GTPv1 message,,Echo Response
411103,GTPv1,Run out of resource for GTPv1 message,,Version Not Supported
411104,GTPv1,Run out of resource for GTPv1 message,,Node Alive Request
411105,GTPv1,Run out of resource for GTPv1 message,,Node Alive Response
411106,GTPv1,Run out of resource for GTPv1 message,,Redirection Request
411107,GTPv1,Run out of resource for GTPv1 message,,Redirection Response
411108,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411109,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41110a,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41110b,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41110c,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41110d,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41110e,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41110f,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411110,GTPv1,Run out of resource for GTPv1 message,,Create PDP Context Request
411111,GTPv1,Run out of resource for GTPv1 message,,Create PDP Context Response
411112,GTPv1,Run out of resource for GTPv1 message,,Update PDP Context Request
411113,GTPv1,Run out of resource for GTPv1 message,,Update PDP Context Response
411114,GTPv1,Run out of resource for GTPv1 message,,Delete PDP Context Request
411115,GTPv1,Run out of resource for GTPv1 message,,Delete PDP Context Response
411116,GTPv1,Run out of resource for GTPv1 message,,Initiate PDP Context Activation Request
411117,GTPv1,Run out of resource for GTPv1 message,,Initiate PDP Context Activation Response
411118,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411119,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41111a,GTPv1,Run out of resource for GTPv1 message,,Error Indication
41111b,GTPv1,Run out of resource for GTPv1 message,,PDU Notification Request
41111c,GTPv1,Run out of resource for GTPv1 message,,PDU Notification Response
41111d,GTPv1,Run out of resource for GTPv1 message,,PDU Notification Reject Request
41111e,GTPv1,Run out of resource for GTPv1 message,,PDU Notification Reject Response
41111f,GTPv1,Run out of resource for GTPv1 message,,Supported Extension Headers Notification
411120,GTPv1,Run out of resource for GTPv1 message,,Send Routeing Information for GPRS Request
411121,GTPv1,Run out of resource for GTPv1 message,,Send Routeing Information for GPRS Response
411122,GTPv1,Run out of resource for GTPv1 message,,Failure Report Request
411123,GTPv1,Run out of resource for GTPv1 message,,Failure Report Response
411124,GTPv1,Run out of resource for GTPv1 message,,Note MS GPRS Present Request
411125,GTPv1,Run out of resource for GTPv1 message,,Note MS GPRS Present Response
411126,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411127,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411128,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411129,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41112a,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41112b,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41112c,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41112d,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41112e,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41112f,GTPv1,Run out of resource for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
411130,GTPv1,Run out of resource for GTPv1 message,,Identification Request
411131,GTPv1,Run out of resource for GTPv1 message,,Identification Response
