EventCode,GTPVersion,Description,InformationElement,MessageType
124100,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
124101,GTPv1,Unexpected sequence number in GTPv1 header,,Echo Request
124102,GTPv1,Unexpected sequence number in GTPv1 header,,Echo Response
124103,GTPv1,Unexpected sequence number in GTPv1 header,,Version Not Supported
124104,GTPv1,Unexpected sequence number in GTPv1 header,,Node Alive Request
124105,GTPv1,Unexpected sequence number in GTPv1 header,,Node Alive Response
124106,GTPv1,Unexpected sequence number in GTPv1 header,,Redirection Request
124107,GTPv1,Unexpected sequence number in GTPv1 header,,Redirection Response
124108,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
124109,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12410a,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12410b,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12410c,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12410d,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12410e,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12410f,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
124110,GTPv1,Unexpected sequence number in GTPv1 header,,Create PDP Context Request
124111,GTPv1,Unexpected sequence number in GTPv1 header,,Create PDP Context Response
124112,GTPv1,Unexpected sequence number in GTPv1 header,,Update PDP Context Request
124113,GTPv1,Unexpected sequence number in GTPv1 header,,Update PDP Context Response
124114,GTPv1,Unexpected sequence number in GTPv1 header,,Delete PDP Context Request
124115,GTPv1,Unexpected sequence number in GTPv1 header,,Delete PDP Context Response
124116,GTPv1,Unexpected sequence number in GTPv1 header,,Initiate PDP Context Activation Request
124117,GTPv1,Unexpected sequence number in GTPv1 header,,Initiate PDP Context Activation Response
124118,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
124119,GTPv1,Unexpected sequence number in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
12411a,GTPv1,Unexpected sequence number in GTPv1 header,,Error Indication
12411b,GTPv1,Unexpected sequence number in GTPv1 header,,PDU Notification Request
