EventCode,GTPVersion,Description,InformationElement,MessageType
144100,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
144101,GTPv1,Incorrect reserved field in GTPv1 header,,Echo Request
144102,GTPv1,Incorrect reserved field in GTPv1 header,,Echo Response
144103,GTPv1,Incorrect reserved field in GTPv1 header,,Version Not Supported
144104,GTPv1,Incorrect reserved field in GTPv1 header,,Node Alive Request
144105,GTPv1,Incorrect reserved field in GTPv1 header,,Node Alive Response
144106,GTPv1,Incorrect reserved field in GTPv1 header,,Redirection Request
144107,GTPv1,Incorrect reserved field in GTPv1 header,,Redirection Response
144108,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
144109,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
14410a,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
14410b,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
14410c,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
14410d,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
14410e,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
14410f,GTPv1,Incorrect reserved field in GTPv1 header,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
144110,GTPv1,Incorrect reserved field in GTPv1 header,,Create PDP Context Request
144111,GTPv1,Incorrect reserved field in GTPv1 header,,Create PDP Context Response
144112,GTPv1,Incorrect reserved field in GTPv1 header,,Update PDP Context Request
144113,GTPv1,Incorrect reserved field in GTPv1 header,,Update PDP Context Response
144114,GTPv1,Incorrect reserved field in GTPv1 header,,Delete PDP Context Request
144115,GTPv1,Incorrect reserved field in GTPv1 header,,Delete PDP Context Response
144116,GTPv1,Incorrect reserved field in GTPv1 header,,Initiate PDP Context Activation Request
144117,GTPv1,Incorrect reserved field in GTPv1 header,,Initiate PDP Context Activation Response
