EventCode,GTPVersion,Description,InformationElement,MessageType
108200,GTPv2,Tunnel alert limit reached,,Reserved
108201,GTPv2,Tunnel alert limit reached,,Echo Request
108202,GTPv2,Tunnel alert limit reached,,Echo Response
108203,GTPv2,Tunnel alert limit reached,,Version Not Supported Indication
108204,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108205,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108206,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108207,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108208,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108209,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
10820a,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
10820b,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
10820c,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
10820d,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
10820e,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
10820f,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108210,GTPv2,Tunnel alert limit reached,,Reserved for S101 interface
108211,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108212,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108213,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108214,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108215,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108216,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108217,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108218,GTPv2,Tunnel alert limit reached,,Reserved for S121 interface
108219,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
10821a,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
10821b,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
10821c,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
10821d,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
10821e,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
10821f,GTPv2,Tunnel alert limit reached,,Reserved for Sv interface
108220,GTPv2,Tunnel alert limit reached,,Create Session Request
108221,GTPv2,Tunnel alert limit reached,,Create Session Response
108224,GTPv2,Tunnel alert limit reached,,Delete Session Request
108225,GTPv2,Tunnel alert limit reached,,Delete Session Response
108222,GTPv2,Tunnel alert limit reached,,Modify Bearer Request
108223,GTPv2,Tunnel alert limit reached,,Modify Bearer Response
108228,GTPv2,Tunnel alert limit reached,,Remote UE Report Notification
108229,GTPv2,Tunnel alert limit reached,,Remote UE Report Acknowledge
108226,GTPv2,Tunnel alert limit reached,,Change Notification Request
108227,GTPv2,Tunnel alert limit reached,,Change Notification Response
10822a,GTPv2,Tunnel alert limit reached,,For future use
1082a4,GTPv2,Tunnel alert limit reached,,Resume Notification
1082a5,GTPv2,Tunnel alert limit reached,,Resume Acknowledge
108240,GTPv2,Tunnel alert limit reached,,Modify Bearer Command (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S2b)
108241,GTPv2,Tunnel alert limit reached,,Modify Bearer Failure Indication (PGW to MME/SGSN/ TWAN/ePDG – S5/S8-S11/S4-S2a-S2b)
108242,GTPv2,Tunnel alert limit reached,,Delete Bearer Command (MME/SGSN to PGW – S11/S4-S5/S8)
108243,GTPv2,Tunnel alert limit reached,,Delete Bearer Failure Indication (PGW to MME/SGSN – S5/S8-S11/S4))
108244,GTPv2,Tunnel alert limit reached,,Bearer Resource Command (MME/SGSN/TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
108245,GTPv2,Tunnel alert limit reached,,Bearer Resource Failure Indication (PGW to MME/SGSN/TWAN/ePDG – S5/S8-S11/S4-S2a-S2b)
108246,GTPv2,Tunnel alert limit reached,,Downlink Data Notification Failure Indication (SGSN/MME to SGW – S4/S11)
108247,GTPv2,Tunnel alert limit reached,,Trace Session Activation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
108248,GTPv2,Tunnel alert limit reached,,Trace Session Deactivation (MME/SGSN/ TWAN/ePDG to PGW – S11/S4-S5/S8-S2a-S2b)
108249,GTPv2,Tunnel alert limit reached,,Stop Paging Indication (SGW to MME/SGSN – S11/S4)
10824a,GTPv2,Tunnel alert limit reached,,For future use
10825f,GTPv2,Tunnel alert limit reached,,Create Bearer Request
108260,GTPv2,Tunnel alert limit reached,,Create Bearer Response
108261,GTPv2,Tunnel alert limit reached,,Update Bearer Request
108262,GTPv2,Tunnel alert limit reached,,Update Bearer Response
108263,GTPv2,Tunnel alert limit reached,,Delete Bearer Request
108264,GTPv2,Tunnel alert limit reached,,Delete Bearer Response
108265,GTPv2,Tunnel alert limit reached,,Delete PDN Connection Set Request
108266,GTPv2,Tunnel alert limit reached,,Delete PDN Connection Set Response
108267,GTPv2,Tunnel alert limit reached,,PGW Downlink Triggering Notification
108268,GTPv2,Tunnel alert limit reached,,PGW Downlink Triggering Acknowledge
108269,GTPv2,Tunnel alert limit reached,,For future use
108280,GTPv2,Tunnel alert limit reached,,Identification Request
108281,GTPv2,Tunnel alert limit reached,,Identification Response
108282,GTPv2,Tunnel alert limit reached,,Context Request
108283,GTPv2,Tunnel alert limit reached,,Context Response
108284,GTPv2,Tunnel alert limit reached,,Context Acknowledge
108285,GTPv2,Tunnel alert limit reached,,Forward Relocation Request
108286,GTPv2,Tunnel alert limit reached,,Forward Relocation Response
108287,GTPv2,Tunnel alert limit reached,,Forward Relocation Complete Notification
108288,GTPv2,Tunnel alert limit reached,,Forward Relocation Complete Acknowledge
108289,GTPv2,Tunnel alert limit reached,,Forward Access Context Notification
10828a,GTPv2,Tunnel alert limit reached,,Forward Access Context Acknowledge
10828b,GTPv2,Tunnel alert limit reached,,Relocation Cancel Request
10828c,GTPv2,Tunnel alert limit reached,,Relocation Cancel Response
10828d,GTPv2,Tunnel alert limit reached,,Configuration Transfer Tunnel
10828e,GTPv2,Tunnel alert limit reached,,For future use
108298,GTPv2,Tunnel alert limit reached,,RAN Information Relay
108295,GTPv2,Tunnel alert limit reached,,Detach Notification
108296,GTPv2,Tunnel alert limit reached,,Detach Acknowledge
108297,GTPv2,Tunnel alert limit reached,,CS Paging Indication
108299,GTPv2,Tunnel alert limit reached,,Alert MME Notification
10829a,GTPv2,Tunnel alert limit reached,,Alert MME Acknowledge
10829b,GTPv2,Tunnel alert limit reached,,UE Activity Notification
10829c,GTPv2,Tunnel alert limit reached,,UE Activity Acknowledge
10829d,GTPv2,Tunnel alert limit reached,,ISR Status Indication
10829e,GTPv2,Tunnel alert limit reached,,UE Registration Query Request
10829f,GTPv2,Tunnel alert limit reached,,UE Registration Query Response
1082a2,GTPv2,Tunnel alert limit reached,,Suspend Notification
1082a3,GTPv2,Tunnel alert limit reached,,Suspend Acknowledge
1082a0,GTPv2,Tunnel alert limit reached,,Create Forwarding Tunnel Request
1082a1,GTPv2,Tunnel alert limit reached,,Create Forwarding Tunnel Response
