18229f, GTPv2 message matched by RAT filter, UE Registration Query Response
1822a2, GTPv2 message matched by RAT filter, Suspend Notification
1822a3, GTPv2 message matched by RAT filter, Suspend Acknowledge
1822a0, GTPv2 message matched by RAT filter, Create Forwarding Tunnel Request
1822a1, GTPv2 message matched by RAT filter, Create Forwarding Tunnel Response
1822a6, GTPv2 message matched by RAT filter, Create Indirect Data Forwarding Tunnel Request
1822a7, GTPv2 message matched by RAT filter, Create Indirect Data Forwarding Tunnel Response
1822a8, GTPv2 message matched by RAT filter, Delete Indirect Data Forwarding Tunnel Request
1822a9, GTPv2 message matched by RAT filter, Delete Indirect Data Forwarding Tunnel Response
1822aa, GTPv2 message matched by RAT filter, Release Access Bearers Request
1822ab, GTPv2 message matched by RAT filter, Release Access Bearers Response
1822ac, GTPv2 message matched by RAT filter, For future use
1822b0, GTPv2 message matched by RAT filter, Downlink Data Notification
1822b1, GTPv2 message matched by RAT filter, Downlink Data Notification Acknowledge
1822b3, GTPv2 message matched by RAT filter, PGW Restart Notification
1822b4, GTPv2 message matched by RAT filter, PGW Restart Notification Acknowledge
1822b2, GTPv2 message matched by RAT filter, Reserved. Allocated in earlier version of the specification.
1822b5, GTPv2 message matched by RAT filter, For future use
1822c8, GTPv2 message matched by RAT filter, Update PDN Connection Set Request
1822c9, GTPv2 message matched by RAT filter, Update PDN Connection Set Response
1822ca, GTPv2 message matched by RAT filter, For future use
1822d3, GTPv2 message matched by RAT filter, Modify Access Bearers Request
1822d4, GTPv2 message matched by RAT filter, Modify Access Bearers Response
1822d5, GTPv2 message matched by RAT filter, For future use
1822e7, GTPv2 message matched by RAT filter, MBMS Session Start Request
1822e8, GTPv2 message matched by RAT filter, MBMS Session Start Response
1822e9, GTPv2 message matched by RAT filter, MBMS Session Update Request
1822ea, GTPv2 message matched by RAT filter, MBMS Session Update Response
1822eb, GTPv2 message matched by RAT filter, MBMS Session Stop Request
1822ec, GTPv2 message matched by RAT filter, MBMS Session Stop Response
1822ed, GTPv2 message matched by RAT filter, For future use
1822f0, GTPv2 message matched by RAT filter, Reserved for Sv interface (see also types 25 to 31)
1822f8, GTPv2 message matched by RAT filter, For future use
