EventCode,GTPVersion,Description,InformationElement,MessageType
122268, Incorrect UDP port in GTPv2 header, PGW Downlink Triggering Acknowledge
122269, Incorrect UDP port in GTPv2 header, For future use
122280, Incorrect UDP port in GTPv2 header, Identification Request
122281, Incorrect UDP port in GTPv2 header, Identification Response
122282, Incorrect UDP port in GTPv2 header, Context Request
122283, Incorrect UDP port in GTPv2 header, Context Response
122284, Incorrect UDP port in GTPv2 header, Context Acknowledge
122285, Incorrect UDP port in GTPv2 header, Forward Relocation Request
122286, Incorrect UDP port in GTPv2 header, Forward Relocation Response
122287, Incorrect UDP port in GTPv2 header, Forward Relocation Complete Notification
122288, Incorrect UDP port in GTPv2 header, Forward Relocation Complete Acknowledge
122289, Incorrect UDP port in GTPv2 header, Forward Access Context Notification
12228a, Incorrect UDP port in GTPv2 header, Forward Access Context Acknowledge
12228b, Incorrect UDP port in GTPv2 header, Relocation Cancel Request
12228c, Incorrect UDP port in GTPv2 header, Relocation Cancel Response
12228d, Incorrect UDP port in GTPv2 header, Configuration Transfer Tunnel
12228e, Incorrect UDP port in GTPv2 header, For future use
122298, Incorrect UDP port in GTPv2 header, RAN Information Relay
122295, Incorrect UDP port in GTPv2 header, Detach Notification
122296, Incorrect UDP port in GTPv2 header, Detach Acknowledge
122297, Incorrect UDP port in GTPv2 header, CS Paging Indication
122299, Incorrect UDP port in GTPv2 header, Alert MME Notification
12229a, Incorrect UDP port in GTPv2 header, Alert MME Acknowledge
12229b, Incorrect UDP port in GTPv2 header, UE Activity Notification
12229c, Incorrect UDP port in GTPv2 header, UE Activity Acknowledge
12229d, Incorrect UDP port in GTPv2 header, ISR Status Indication
12229e, Incorrect UDP port in GTPv2 header, UE Registration Query Request
12229f, Incorrect UDP port in GTPv2 header, UE Registration Query Response
1222a2, Incorrect UDP port in GTPv2 header, Suspend Notification
1222a3, Incorrect UDP port in GTPv2 header, Suspend Acknowledge
1222a0, Incorrect UDP port in GTPv2 header, Create Forwarding Tunnel Request
1222a1, Incorrect UDP port in GTPv2 header, Create Forwarding Tunnel Response
1222a6, Incorrect UDP port in GTPv2 header, Create Indirect Data Forwarding Tunnel Request
1222a7, Incorrect UDP port in GTPv2 header, Create Indirect Data Forwarding Tunnel Response
1222a8, Incorrect UDP port in GTPv2 header, Delete Indirect Data Forwarding Tunnel Request
1222a9, Incorrect UDP port in GTPv2 header, Delete Indirect Data Forwarding Tunnel Response
1222aa, Incorrect UDP port in GTPv2 header, Release Access Bearers Request
1222ab, Incorrect UDP port in GTPv2 header, Release Access Bearers Response
1222ac, Incorrect UDP port in GTPv2 header, For future use
1222b0, Incorrect UDP port in GTPv2 header, Downlink Data Notification
1222b1, Incorrect UDP port in GTPv2 header, Downlink Data Notification Acknowledge
1222b3, Incorrect UDP port in GTPv2 header, PGW Restart Notification
1222b4, Incorrect UDP port in GTPv2 header, PGW Restart Notification Acknowledge
1222b2, Incorrect UDP port in GTPv2 header, Reserved. Allocated in earlier version of the specification.
1222b5, Incorrect UDP port in GTPv2 header, For future use
1222c8, Incorrect UDP port in GTPv2 header, Update PDN Connection Set Request
1222c9, Incorrect UDP port in GTPv2 header, Update PDN Connection Set Response
1222ca, Incorrect UDP port in GTPv2 header, For future use
1222d3, Incorrect UDP port in GTPv2 header, Modify Access Bearers Request
1222d4, Incorrect UDP port in GTPv2 header, Modify Access Bearers Response
1222d5, Incorrect UDP port in GTPv2 header, For future use
1222e7, Incorrect UDP port in GTPv2 header, MBMS Session Start Request
1222e8, Incorrect UDP port in GTPv2 header, MBMS Session Start Response
1222e9, Incorrect UDP port in GTPv2 header, MBMS Session Update Request
1222ea, Incorrect UDP port in GTPv2 header, MBMS Session Update Response
1222eb, Incorrect UDP port in GTPv2 header, MBMS Session Stop Request
1222ec, Incorrect UDP port in GTPv2 header, MBMS Session Stop Response
1222ed, Incorrect UDP port in GTPv2 header, For future use
1222f0, Incorrect UDP port in GTPv2 header, Reserved for Sv interface (see also types 25 to 31)
1222f8, Incorrect UDP port in GTPv2 header, For future use

