EventCode,GTPVersion,Description,InformationElement,MessageType
182200,GTPv2,Out-of-state GTPv2 message,,Reserved
182201,GTPv2,Out-of-state GTPv2 message,,Echo Request
182202,GTPv2,Out-of-state GTPv2 message,,Echo Response
182203,GTPv2,Out-of-state GTPv2 message,,Version Not Supported Indication
182204,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182205,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182206,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182207,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182208,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182209,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
18220a,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
18220b,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
18220c,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
18220d,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
18220e,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
18220f,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182210,GTPv2,Out-of-state GTPv2 message,,Reserved for S101 interface
182211,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182212,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182213,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182214,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182215,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182216,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182217,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182218,GTPv2,Out-of-state GTPv2 message,,Reserved for S121 interface
182219,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
18221a,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
18221b,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
18221c,GTPv2,Out-of-state GTPv2 message,,Reserved for Sv interface
