EventCode,GTPVersion,Description,InformationElement,MessageType
412100,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
412101,GTPv1,Conflict with another session for GTPv1 message,,Echo Request
412102,GTPv1,Conflict with another session for GTPv1 message,,Echo Response
412103,GTPv1,Conflict with another session for GTPv1 message,,Version Not Supported
412104,GTPv1,Conflict with another session for GTPv1 message,,Node Alive Request
412105,GTPv1,Conflict with another session for GTPv1 message,,Node Alive Response
412106,GTPv1,Conflict with another session for GTPv1 message,,Redirection Request
412107,GTPv1,Conflict with another session for GTPv1 message,,Redirection Response
412108,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
412109,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41210a,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41210b,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41210c,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41210d,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41210e,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41210f,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
412110,GTPv1,Conflict with another session for GTPv1 message,,Create PDP Context Request
412111,GTPv1,Conflict with another session for GTPv1 message,,Create PDP Context Response
412112,GTPv1,Conflict with another session for GTPv1 message,,Update PDP Context Request
412113,GTPv1,Conflict with another session for GTPv1 message,,Update PDP Context Response
412114,GTPv1,Conflict with another session for GTPv1 message,,Delete PDP Context Request
412115,GTPv1,Conflict with another session for GTPv1 message,,Delete PDP Context Response
412116,GTPv1,Conflict with another session for GTPv1 message,,Initiate PDP Context Activation Request
412117,GTPv1,Conflict with another session for GTPv1 message,,Initiate PDP Context Activation Response
412118,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
412119,GTPv1,Conflict with another session for GTPv1 message,,For future use. Shall not be sent. If received shall be treated as an Unknown message.
41211a,GTPv1,Conflict with another session for GTPv1 message,,Error Indication
41211b,GTPv1,Conflict with another session for GTPv1 message,,PDU Notification Request
41211c,GTPv1,Conflict with another session for GTPv1 message,,PDU Notification Response
41211d,GTPv1,Conflict with another session for GTPv1 message,,PDU Notification Reject Request
41211e,GTPv1,Conflict with another session for GTPv1 message,,PDU Notification Reject Response
